crop_name,age,race,masked,skintone,emotion,gender
0.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
1.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
2.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
3.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
4.jpg,20-30s,Caucasian,unmasked,mid-light,Happiness,Female
5.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
6.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
7.jpg,40-50s,Caucasian,unmasked,mid-light,Happiness,Female
8.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
9.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
10.jpg,20-30s,Caucasian,unmasked,light,Happiness,Male
11.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
12.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
13.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
14.jpg,20-30s,Mongoloid,unmasked,mid-light,Neutral,Male
15.jpg,20-30s,Caucasian,unmasked,light,Neutral,Male
16.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
17.jpg,40-50s,Caucasian,unmasked,light,Neutral,Male
18.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
19.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
20.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
21.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Female
22.jpg,40-50s,Caucasian,unmasked,light,Happiness,Female
23.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
24.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
25.jpg,Kid,Caucasian,unmasked,mid-dark,Neutral,Male
26.jpg,20-30s,Caucasian,unmasked,light,Happiness,Female
27.jpg,20-30s,Caucasian,unmasked,mid-light,Anger,Male
28.jpg,20-30s,Caucasian,unmasked,light,Surprise,Male
29.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
30.jpg,20-30s,Mongoloid,unmasked,mid-light,Happiness,Female
31.jpg,20-30s,Mongoloid,unmasked,mid-dark,Happiness,Male
32.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
33.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
34.jpg,20-30s,Mongoloid,unmasked,light,Happiness,Female
35.jpg,Senior,Mongoloid,unmasked,light,Happiness,Male
36.jpg,20-30s,Mongoloid,unmasked,light,Neutral,Female
37.jpg,20-30s,Caucasian,unmasked,mid-light,Neutral,Male
